name,n_alcohol,temperature_K,cutoff_cm1,alcohol_activity,delta_G_standard_1M_kcal_mol,effective_association_kcal_mol,log_activity_ratio_complex_to_bare
hemiaminal_tbuoh_1_seed_02,1,383.15,150.0,0.1,3.9691352485278912,5.722317348289987,-7.5155470874027985
hemiaminal_tbuoh_1_seed_02,1,383.15,150.0,1.0,3.9691352485278912,3.9691352485278912,-5.212961994408753
hemiaminal_tbuoh_1_seed_02,1,390.0,50.0,0.001,3.4088855411064287,8.762462617242804,-11.306262437305893
hemiaminal_tbuoh_1_seed_02,1,390.0,50.0,0.01,3.4088855411064287,6.977936925197345,-9.003677344311846
hemiaminal_tbuoh_1_seed_02,1,390.0,50.0,0.05,3.4088855411064287,5.730606994490595,-7.394239431877748
hemiaminal_tbuoh_1_seed_02,1,390.0,50.0,0.1,3.4088855411064287,5.1934112331518865,-6.701092251317801
hemiaminal_tbuoh_1_seed_02,1,390.0,50.0,1.0,3.4088855411064287,3.4088855411064287,-4.398507158323756
hemiaminal_tbuoh_1_seed_02,1,390.0,100.0,0.001,4.050341262911388,9.403918339047763,-12.133936922143857
hemiaminal_tbuoh_1_seed_02,1,390.0,100.0,0.01,4.050341262911388,7.619392647002305,-9.83135182914981
hemiaminal_tbuoh_1_seed_02,1,390.0,100.0,0.05,4.050341262911388,6.372062716295554,-8.22191391671571
hemiaminal_tbuoh_1_seed_02,1,390.0,100.0,0.1,4.050341262911388,5.834866954956846,-7.528766736155765
hemiaminal_tbuoh_1_seed_02,1,390.0,100.0,1.0,4.050341262911388,4.050341262911388,-5.22618164316172
hemiaminal_tbuoh_1_seed_02,1,390.0,150.0,0.001,4.228224994662014,9.581802070798389,-12.363461456781215
hemiaminal_tbuoh_1_seed_02,1,390.0,150.0,0.01,4.228224994662014,7.7972763787529304,-10.060876363787168
hemiaminal_tbuoh_1_seed_02,1,390.0,150.0,0.05,4.228224994662014,6.54994644804618,-8.451438451353068
hemiaminal_tbuoh_1_seed_02,1,390.0,150.0,0.1,4.228224994662014,6.012750686707472,-7.758291270793123
hemiaminal_tbuoh_1_seed_02,1,390.0,150.0,1.0,4.228224994662014,4.228224994662014,-5.455706177799078
hemiaminal_tbuoh_1_seed_02,1,400.0,50.0,0.001,3.7485842015885282,9.239432484805324,-11.623657261992692
hemiaminal_tbuoh_1_seed_02,1,400.0,50.0,0.01,3.7485842015885282,7.409149723733059,-9.321072168998647
hemiaminal_tbuoh_1_seed_02,1,400.0,50.0,0.05,3.7485842015885282,6.129836974290237,-7.7116342565645475
hemiaminal_tbuoh_1_seed_02,1,400.0,50.0,0.1,3.7485842015885282,5.578866962660793,-7.018487076004602
hemiaminal_tbuoh_1_seed_02,1,400.0,50.0,1.0,3.7485842015885282,3.7485842015885282,-4.715901983010556
hemiaminal_tbuoh_1_seed_02,1,400.0,100.0,0.001,4.41900354460995,9.909851827826746,-12.467077534602165
hemiaminal_tbuoh_1_seed_02,1,400.0,100.0,0.01,4.41900354460995,8.07956906675448,-10.16449244160812
hemiaminal_tbuoh_1_seed_02,1,400.0,100.0,0.05,4.41900354460995,6.800256317311659,-8.55505452917402
hemiaminal_tbuoh_1_seed_02,1,400.0,100.0,0.1,4.41900354460995,6.249286305682215,-7.861907348614074
hemiaminal_tbuoh_1_seed_02,1,400.0,100.0,1.0,4.41900354460995,4.41900354460995,-5.559322255620028
hemiaminal_tbuoh_1_seed_02,1,400.0,150.0,0.001,4.6064497258030315,10.097298009019827,-12.702893984242435
hemiaminal_tbuoh_1_seed_02,1,400.0,150.0,0.01,4.6064497258030315,8.267015247947562,-10.400308891248388
hemiaminal_tbuoh_1_seed_02,1,400.0,150.0,0.05,4.6064497258030315,6.98770249850474,-8.790870978814288
hemiaminal_tbuoh_1_seed_02,1,400.0,150.0,0.1,4.6064497258030315,6.436732486875297,-8.097723798254343
hemiaminal_tbuoh_1_seed_02,1,400.0,150.0,1.0,4.6064497258030315,4.6064497258030315,-5.795138705260297
hemiaminal_tbuoh_1_seed_02,1,410.0,50.0,0.001,4.087821191920739,9.715940682217955,-11.925002774652194
hemiaminal_tbuoh_1_seed_02,1,410.0,50.0,0.01,4.087821191920739,7.839900852118882,-9.622417681658147
hemiaminal_tbuoh_1_seed_02,1,410.0,50.0,0.05,4.087821191920739,6.52860528393999,-8.012979769224048
hemiaminal_tbuoh_1_seed_02,1,410.0,50.0,0.1,4.087821191920739,5.9638610220198105,-7.319832588664101
hemiaminal_tbuoh_1_seed_02,1,410.0,50.0,1.0,4.087821191920739,4.087821191920739,-5.0172474956700555
hemiaminal_tbuoh_1_seed_02,1,410.0,100.0,0.001,4.787520639323702,10.415640129620918,-12.783789188094786
hemiaminal_tbuoh_1_seed_02,1,410.0,100.0,0.01,4.787520639323702,8.539600299521846,-10.481204095100741
hemiaminal_tbuoh_1_seed_02,1,410.0,100.0,0.05,4.787520639323702,7.228304731342954,-8.87176618266664
hemiaminal_tbuoh_1_seed_02,1,410.0,100.0,0.1,4.787520639323702,6.663560469422774,-8.178619002106695
hemiaminal_tbuoh_1_seed_02,1,410.0,100.0,1.0,4.787520639323702,4.787520639323702,-5.87603390911265
hemiaminal_tbuoh_1_seed_02,1,410.0,150.0,0.001,4.984658043820673,10.612777534117889,-13.025748682548747
hemiaminal_tbuoh_1_seed_02,1,410.0,150.0,0.01,4.984658043820673,8.736737704018816,-10.7231635895547
hemiaminal_tbuoh_1_seed_02,1,410.0,150.0,0.05,4.984658043820673,7.4254421358399245,-9.1137256771206
hemiaminal_tbuoh_1_seed_02,1,410.0,150.0,0.1,4.984658043820673,6.860697873919745,-8.420578496560655
hemiaminal_tbuoh_1_seed_02,1,410.0,150.0,1.0,4.984658043820673,4.984658043820673,-6.117993403566608
hemiaminal_tbuoh_1_seed_02,1,420.0,50.0,0.001,4.426601134828161,10.191991832205796,-12.211450893394838
hemiaminal_tbuoh_1_seed_02,1,420.0,50.0,0.01,4.426601134828161,8.270194933079917,-9.908865800400791
hemiaminal_tbuoh_1_seed_02,1,420.0,50.0,0.05,4.426601134828161,6.926916546164955,-8.299427887966692
hemiaminal_tbuoh_1_seed_02,1,420.0,50.0,0.1,4.426601134828161,6.348398033954039,-7.6062807074067464
hemiaminal_tbuoh_1_seed_02,1,420.0,50.0,1.0,4.426601134828161,4.426601134828161,-5.3036956144127005
hemiaminal_tbuoh_1_seed_02,1,420.0,100.0,0.001,5.15588928069883,10.921279978076464,-13.085241466135832
hemiaminal_tbuoh_1_seed_02,1,420.0,100.0,0.01,5.15588928069883,8.999483078950586,-10.782656373141787
hemiaminal_tbuoh_1_seed_02,1,420.0,100.0,0.05,5.15588928069883,7.656204692035624,-9.173218460707687
hemiaminal_tbuoh_1_seed_02,1,420.0,100.0,0.1,5.15588928069883,7.077686179824708,-8.480071280147742
hemiaminal_tbuoh_1_seed_02,1,420.0,100.0,1.0,5.15588928069883,5.15588928069883,-6.177486187153696
hemiaminal_tbuoh_1_seed_02,1,420.0,150.0,0.001,5.362843426846666,11.128234124224301,-13.333201868231427
hemiaminal_tbuoh_1_seed_02,1,420.0,150.0,0.01,5.362843426846666,9.206437225098423,-11.030616775237382
hemiaminal_tbuoh_1_seed_02,1,420.0,150.0,0.05,5.362843426846666,7.863158838183461,-9.421178862803282
hemiaminal_tbuoh_1_seed_02,1,420.0,150.0,0.1,5.362843426846666,7.2846403259725445,-8.728031682243335
hemiaminal_tbuoh_1_seed_02,1,420.0,150.0,1.0,5.362843426846666,5.362843426846666,-6.42544658924929
hemiaminal_tbuoh_2_seed_01,2,298.15,50.0,0.001,2.4458200769804535,10.63130215518589,-17.943581791102023
hemiaminal_tbuoh_2_seed_01,2,298.15,50.0,0.01,2.4458200769804535,7.90280812911741,-13.33841160511393
hemiaminal_tbuoh_2_seed_01,2,298.15,50.0,0.05,2.4458200769804535,5.995672647885526,-10.11953578024573
hemiaminal_tbuoh_2_seed_01,2,298.15,50.0,0.1,2.4458200769804535,5.174314103048932,-8.733241419125838
hemiaminal_tbuoh_2_seed_01,2,298.15,50.0,1.0,2.4458200769804535,2.4458200769804535,-4.128071233137748
hemiaminal_tbuoh_2_seed_01,2,298.15,100.0,0.001,3.586111557462573,11.77159363566801,-19.86817326137145
